strain,carbonSource,Area_Under_Curve,Growth
Day0Anc,L-Homoserine,-14.525750011205682,FALSE
Day0Anc,Phenylethylamine,-8.896200053,FALSE
Day0Anc,2-Deoxy Adenosine,-7.4089999959999995,FALSE
Day0Anc,D-Galactose,-4.260099994,FALSE
Day0Anc,Glucuronamide,-3.819999948,FALSE
Day0Anc,Sec-Butylamine,-3.759950138628458,FALSE
Day0Anc,2-Hydroxy Benzoic Acid,-3.666299991309628,FALSE
Day0Anc,D-Fucose,-2.8386498764157144,FALSE
Day0Anc,3-Hydroxy 2-Butanone,-2.1563000082969412,FALSE
Day0Anc,Glyoxylic Acid,-2.047500117,FALSE
Day0Anc,L-Tartaric Acid,-1.8820999115705177,FALSE
Day0Anc,D-Melibiose,-1.8366999640000001,FALSE
Day0Anc,Dulcitol,-1.5421000859999998,FALSE
Day0Anc,Thymidine,-1.5419000479999998,FALSE
Day0Anc,Mannan,-1.434399947524066,FALSE
Day0Anc,beta-Methyl-D-Xyloside,-1.3699499815702354,FALSE
Day0Anc,Sucrose,-1.304299872,FALSE
Day0Anc,L-Arabinose,-1.208299968,FALSE
Day0Anc,5-Keto-D-Gluconic Acid,-1.1918499544262784,FALSE
Day0Anc,Gentiobiose,-1.155250020325177,FALSE
Day0Anc,D-Galacturonic Acid,-1.0606000420000001,FALSE
Day0Anc,D-Raffinose,-0.8044999167323095,FALSE
Day0Anc,D-Cellobiose,-0.793600106,FALSE
Day0Anc,D-Tartaric Acid,-0.7005500569939471,FALSE
Day0Anc,D-Mannose,-0.5086999809999997,FALSE
Day0Anc,"1,2-Propanediol",-0.46329985499999976,FALSE
Day0Anc,2-Deoxy-D-Ribose,-0.3713500052690416,FALSE
Day0Anc,N-Acetyl-D-Galactosamine,-0.36799997091293274,FALSE
Day0Anc,Maltose,-0.357099936,FALSE
Day0Anc,"2,3-Butanediol",-0.22654999792576208,FALSE
Day0Anc,Lactulose,-0.07400001599999997,FALSE
Day0Anc,Glycolic Acid,0.12450001599999999,FALSE
Day0Anc,L-Galactonic Acid-gamma-Lactone,0.2537000210000001,FALSE
Day0Anc,D-Threonine,0.3392999280000003,FALSE
Day0Anc,gamma-Cyclodextrin,0.36480008065700675,FALSE
Day0Anc,N-Acetyl-Neuraminic Acid,0.4832499772310229,FALSE
Day0Anc,i-Erythritol,0.5182499289512663,FALSE
Day0Anc,L-Glucose,0.5184499472379636,FALSE
Day0Anc,beta-Methyl-D-Glucuronic Acid,0.6752001121640159,FALSE
Day0Anc,D-Psicose,0.6913001249999996,FALSE
Day0Anc,Palatinose,0.7500499933958077,FALSE
Day0Anc,gamma-Hydroxy Butyric Acid,0.784199900925159,FALSE
Day0Anc,D-Xylose,0.8315000830000001,FALSE
Day0Anc,L-Sorbose,0.8498499020933965,FALSE
Day0Anc,Chondroitin Sulfate C,0.867699943482876,FALSE
Day0Anc,alpha-Cyclodextrin,0.9815499335527497,FALSE
Day0Anc,alpha-D-Lactose,1.0923999530000004,FALSE
Day0Anc,D-Melezitose,1.1093498915433913,FALSE
Day0Anc,Maltotriose,1.2394000290000005,FALSE
Day0Anc,Stachyose,1.2660998925566678,FALSE
Day0Anc,L-Rhamnose,1.3356000020000005,FALSE
Day0Anc,Lactitol,1.4607499316334756,FALSE
Day0Anc,Salicin,1.485849887132644,FALSE
Day0Anc,L-Arabitol,1.5209498479962489,FALSE
Day0Anc,Arbutin,1.5724499449133937,FALSE
Day0Anc,D-Sorbitol,1.6354001650000003,FALSE
Day0Anc,"D-Ribono-1,4-Lactone",1.7731499448418713,FALSE
Day0Anc,Turanose,1.8089001029729972,FALSE
Day0Anc,beta-D-Allose,1.8091999664902734,FALSE
Day0Anc,Adenosine,2.1937999770000003,FALSE
Day0Anc,Amygdalin,2.273550018668179,FALSE
Day0Anc,Adonitol,2.2910000950000002,FALSE
Day0Anc,D-Glucosaminic Acid,2.3261001850000005,FALSE
