gene,Acetic Acid,Citric Acid,"D,L-alpha-Glycerol Phosphate",D-Alanine,D-Fructose,Adenosine,Fumaric Acid,L-Arginine,L-Asparagine,L-Aspartic Acid,L-Glutamic Acid,L-Glutamine,L-Histidine,Glycerol,Glycine,Itaconic Acid,L-Ornithine,L-Phenylalanine,L-Proline,L-Serine,Malonic Acid,L-Alanine,alpha-D-Glucose,Putrescine,Pyruvic Acid,Succinic Acid,alpha-Keto-Glutaric Acid,gamma-Amino Butyric Acid,L-Isoleucine,L-Malic Acid,L-Lactic Acid,L-Leucine,D-Mannitol,2-Aminoethanol,D-Fructose-6-Phosphate,D-Galacturonic Acid,D-Glucose-1-Phosphate,D-Glucose-6-Phosphate,D-Saccharic Acid,D-Glucuronic Acid,D-Sorbitol,D-Xylose,Glycolic Acid,Glycyl-L-Aspartic Acid,L-Methionine,2-Deoxy-D-Ribose,Thymidine,L-Valine,Maltose,Maltotriose,m-Inositol,Mucic Acid,L-Arabinose,Acetoacetic Acid,D-Malic Acid,D-Ribose,D-Serine,Inosine,L-Threonine,Glycyl-L-Glutamic Acid,Glycyl-L-Proline,Hydroxy-L-Proline,Butyric Acid,L-Alanyl-Glycine,L-Lysine,p-Hydroxy Phenyl Acetic Acid,Propionic Acid,Uridine,beta-Hydroxy Butyric Acid,D-Gluconic Acid,D-Arabitol,N-Acetyl-D Glucosamine,D-Galactose,L-Sorbose,Xylitol,4-Hydroxy Benzoic Acid,"D,L-Carnitine",D-Mannose,D-Tartaric Acid,Formic Acid,L-Tartaric Acid,D-Trehalose,m-Tartaric Acid,Citraconic Acid
PA14_52900,1.00000000000002,1.00000000000003,0.999999999999984,1.00000000000006,0.999999999999948,0.999999999999999,1.00000000000002,0.99999999999999,1.00000000000003,1.00000000000002,1.0000000000003,1,1.00000000000004,0.999999999999984,0.999999999999903,0.999999999999977,0.999999999999888,0.999999999999949,0.999999999999946,0.999999999999809,1.00000000000027,1.00000000000003,0.999999999999996,1.00000000000001,0.999999999999912,0.999999999999966,0.999999999999583,0.999999999999936,1.00000000000003,0.999999999999975,1.00000000000001,1.00000000000032,0.999999999999998,1.00000000000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00000000000001,0.999999999999991,1.0000000000001,0.999999999999991,0.999999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.999999999999877,NaN,0.999999999999979,NaN,NaN,NaN,0.999999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_06600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_31580,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_31540,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_42080,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_25080,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_17860,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_43460,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_68530,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA14_38840,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
