strain,gene
Day20P3,PA14_33890
Day20P3,PA14_33900
Day20P3,PA14_33910
Day20P3,PA14_33920
Day20P3,PA14_33930
Day20P3,PA14_33940
Day20P3,PA14_33960
Day20P3,PA14_33970
Day20P3,PA14_33980
Day20P3,PA14_33990
Day20P3,PA14_34000
Day20P3,PA14_34010
Day20P3,PA14_34020
Day20P3,PA14_34030
Day20P3,PA14_34050
Day20P3,PA14_34070
Day20P3,PA14_34080
Day20P3,PA14_34100
Day20P3,PA14_34110
Day20P3,PA14_34130
Day20P3,PA14_34140
Day20P3,PA14_34150
Day20P3,PA14_34170
Day20P3,PA14_34180
Day20P3,PA14_34190
Day20P3,PA14_34200
Day20P3,PA14_34210
Day20P3,PA14_34230
Day20P3,PA14_34250
Day20P3,PA14_34260
Day20P3,PA14_34270
Day20P3,PA14_34280
Day20P3,PA14_34290
Day20P3,PA14_34300
Day20P3,PA14_34320
Day20P3,PA14_34330
Day20P3,PA14_34340
Day20P3,PA14_34350
Day20P3,PA14_34360
Day20P3,PA14_34370
Day20P3,PA14_34390
Day20P3,PA14_34410
Day20P3,PA14_34420
Day20P3,PA14_34440
Day20P3,PA14_34450
Day20P3,PA14_34460
Day20P3,PA14_34490
Day20P3,PA14_34500
Day20P3,PA14_34510
Day20P3,PA14_34520
Day20P3,PA14_34540
Day20P3,PA14_34550
Day20P3,PA14_34580
Day20P3,PA14_34600
Day20P3,PA14_34610
Day20P3,PA14_34630
Day20P3,PA14_34640
Day20P3,PA14_34660
Day20P3,PA14_34670
Day20P3,PA14_34680
Day20P3,PA14_34690
Day20P3,PA14_34700
Day20P3,PA14_34710
Day20P3,PA14_34720
Day20P3,PA14_34730
Day20P3,PA14_34740
Day20P3,PA14_34750
Day20P3,PA14_34770
Day20P3,PA14_34780
Day20P3,PA14_34790
Day20P3,PA14_34800
Day20P3,PA14_34810
Day20P3,PA14_34820
Day20P3,PA14_34830
Day20P3,PA14_34840
Day20P3,PA14_34850
Day20P3,PA14_34870
Day20P3,PA14_34880
Day20P3,PA14_34900
Day20P3,PA14_34920
Day20P3,PA14_34930
Day20P3,PA14_34940
Day20P3,PA14_34960
Day20P3,PA14_34970
Day20P3,PA14_34990
Day20P3,PA14_35000
Day20P3,PA14_35010
Day20P3,PA14_35020
Day20P3,PA14_35030
Day20P3,PA14_35040
Day20P3,PA14_35050
Day20P3,PA14_35060
Day20P3,PA14_35070
Day20P3,PA14_35080
Day20P3,PA14_35100
Day20P3,PA14_35110
Day20P3,PA14_35130
Day20P3,PA14_35140
Day20P3,PA14_35150
Day20P3,PA14_35160
Day20P3,PA14_35170
Day20P3,PA14_35190
Day20P3,PA14_35200
Day20P3,PA14_35210
Day20P3,PA14_35230
Day20P3,PA14_35240
Day20P3,PA14_35250
Day20P3,PA14_35270
Day20P3,PA14_35290
Day20P3,PA14_35300
Day20P3,PA14_35320
Day20P3,PA14_35330
Day20P3,PA14_35340
Day20P3,PA14_35360
Day20P3,PA14_35370
Day20P3,PA14_35380
Day20P3,PA14_35390
Day20P3,PA14_35400
Day20P3,PA14_35420
Day20P3,PA14_35430
Day20P3,PA14_35440
Day20P3,PA14_35460
Day20P3,PA14_35470
Day20P3,PA14_35490
Day20P3,PA14_35500
Day20P3,PA14_35520
Day20P3,PA14_35530
Day20P3,PA14_35540
Day20P3,PA14_35550
Day20P3,PA14_35570
Day20P3,PA14_35590
Day20P3,PA14_35600
Day20P3,PA14_35620
Day20P3,PA14_35630
Day20P3,PA14_35640
Day20P3,PA14_35650
Day20P3,PA14_35670
Day20P3,PA14_35680
Day20P3,PA14_35690
Day20P3,PA14_35700
Day20P3,PA14_35710
Day20P2,PA14_40050
Day20P2,PA14_40060
Day20P2,PA14_40070
Day20P2,PA14_40080
Day20P2,PA14_40100
Day20P2,PA14_40110
Day20P2,PA14_40120
Day20P2,PA14_40130
Day20P2,PA14_40150
Day20P2,PA14_40160
Day20P2,PA14_40170
Day20P2,PA14_40180
Day20P2,PA14_40200
Day20P2,PA14_40210
Day20P2,PA14_40220
Day20P2,PA14_40230
Day20P2,PA14_40240
Day20P2,PA14_40250
Day20P2,PA14_40260
Day20P2,PA14_40270
Day20P2,PA14_40280
Day20P2,PA14_40290
Day20P2,PA14_40300
Day20P2,PA14_40310
Day20P2,PA14_40320
Day20P2,PA14_40330
Day20P2,PA14_40340
Day20P2,PA14_40350
Day20P2,PA14_40370
Day20P2,PA14_40380
Day20P2,PA14_40390
Day20P2,PA14_40410
Day20P2,PA14_40420
Day20P2,PA14_40430
Day20P2,PA14_40440
Day20P2,PA14_40450
Day20P2,PA14_40470
Day20P2,PA14_40490
Day20P2,PA14_40510
Day20P2,PA14_40520
Day20P2,PA14_40540
Day20P2,PA14_40550
Day20P2,PA14_40560
Day20P2,PA14_40570
Day20P2,PA14_40600
Day20P2,PA14_40610
Day20P2,PA14_40620
Day20P2,PA14_40630
Day20P2,PA14_40640
Day20P2,PA14_40650
Day20P2,PA14_40660
Day20P2,PA14_40670
Day20P2,PA14_40690
Day20P2,PA14_40700
Day20P2,PA14_40710
Day20P2,PA14_40730
Day20P2,PA14_40740
Day20P2,PA14_40750
Day20P2,PA14_40770
Day20P2,PA14_40780
Day20P2,PA14_40790
Day20P2,PA14_40800
Day20P2,PA14_40820
Day20P2,PA14_40830
Day20P2,PA14_40840
Day20P2,PA14_40850
Day20P2,PA14_40860
Day20P2,PA14_40880
Day20P2,PA14_40890
Day20P2,PA14_40900
Day20P2,PA14_40910
Day20P2,PA14_40930
Day20P2,PA14_40940
Day20P2,PA14_40950
Day20P2,PA14_40960
Day20P2,PA14_40980
Day20P2,PA14_41000
Day20P1,PA14_12100
Day20P1,PA14_18080
Day20P1,PA14_44070
Day20P2,PA14_23410
Day20P2,PA14_36630
Day20P3,PA14_05520
Day20P3,PA14_33890
Day20P3,PA14_51910
Day20P4,PA14_18080
Day20P4,PA14_22730
Day20P4,PA14_31870
Day20P4,PA14_54410
Day20P4,PA14_57220
Day20P4,PA14_66170
Day20P1,PA14_24690
Day20P2,PA14_05520
Day20P2,PA14_70470
Day20P3,PA14_22040
