expID,plate,strain,carbonSource,growthRate,maxLnOD,lagPhase
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,Negative Control,-0.011282117,-1.695540574,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,L-Arabinose,-0.010141162,-1.70100508,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,N-Acetyl-DGlucosamine,0.047859161,-1.319757863,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,D-Saccharic Acid,-0.027269633,-1.623536835,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,Succinic Acid,0.103103821,-0.848865787,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,D-Galactose,0.003618469,-1.629640646,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,L-Aspartic Acid,0.070576257,-0.739819586,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,L-Proline,0.075550539,-0.477713307,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,D-Alanine,0.058979167,-0.800509726,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,D-Trehalose,0.06585058,-0.914292755,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,D-Mannose,0.012169355,-1.648178774,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,Dulcitol,0.003699773,-1.723727087,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,D-Serine,0.008579355,-1.705948788,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,D-Sorbitol,-0.006931066,-1.501480764,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,Glycerol,0.034027355,-0.73709905,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,L-Fucose,0.01799199,-1.368847389,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,D-Glucuronic Acid,-0.003662857,-1.395536919,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,D-Gluconic Acid,0.094414763,-0.699567737,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,"D,L-alpha-GlycerolPhosphate",0.026458916,-1.369633875,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,D-Xylose,0.012704674,-1.498343872,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,L-Lactic Acid,0.075330742,-0.914542254,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,Formic Acid,0.00593013,-1.424203907,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,D-Mannitol,0.019233583,-0.744651008,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,L-Glutamic Acid,0.045705163,-0.678061525,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,D-Glucose-6-Phosphate,0.001937016,-1.643511924,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,D-Galactonic Acid-gamma-Lactone,0.026033124,-1.046114716,36.16466667
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,"D,L-Malic Acid",0.099085871,-0.87347076,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,D-Ribose,0.014256055,-1.341320992,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,Tween 20,0.105767227,-0.855195667,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,L-Rhamnose,0.003408871,-1.687399441,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,D-Fructose,0.045350952,-0.973919807,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,Acetic Acid,0.039002007,-1.033948777,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,alpha-D-Glucose,0.115239762,-0.519866332,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,Maltose,0.007917563,-1.672377685,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,D-Melibiose,0.002674483,-1.697722827,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,Thymidine,-0.012201896,-1.72260662,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,L-Asparagine,0.0934743,-0.695149157,0
biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY,PM1,Day0Anc,D-Aspartic Acid,-0.015139028,-1.546932717,0
