wellID,replicate,media,strain,timeTidy,data
Day0Anc_1,1,LB,Day0Anc,0,0.090499997
Day0Anc_1,1,LB,Day0Anc,0.177305556,0.090700001
Day0Anc_1,1,LB,Day0Anc,0.354611111,0.0902
Day0Anc_1,1,LB,Day0Anc,0.531916667,0.091200002
Day0Anc_1,1,LB,Day0Anc,0.709222222,0.090899996
Day0Anc_1,1,LB,Day0Anc,0.886527778,0.091799997
Day0Anc_1,1,LB,Day0Anc,1.063833333,0.092500001
Day0Anc_1,1,LB,Day0Anc,1.241138889,0.093599997
Day0Anc_1,1,LB,Day0Anc,1.418444444,0.0942
Day0Anc_1,1,LB,Day0Anc,1.59575,0.0955
Day0Anc_1,1,LB,Day0Anc,1.773055556,0.097499996
Day0Anc_1,1,LB,Day0Anc,1.950361111,0.0995
Day0Anc_1,1,LB,Day0Anc,2.127666667,0.102899998
Day0Anc_1,1,LB,Day0Anc,2.304972222,0.106899999
Day0Anc_1,1,LB,Day0Anc,2.482277778,0.112800002
Day0Anc_1,1,LB,Day0Anc,2.659583333,0.119400002
Day0Anc_1,1,LB,Day0Anc,2.836888889,0.126599997
Day0Anc_1,1,LB,Day0Anc,3.014194444,0.137600005
Day0Anc_1,1,LB,Day0Anc,3.1915,0.149800003
Day0Anc_1,1,LB,Day0Anc,3.368805556,0.166700006
Day0Anc_1,1,LB,Day0Anc,3.546111111,0.186399996
Day0Anc_1,1,LB,Day0Anc,3.723416667,0.212500006
Day0Anc_1,1,LB,Day0Anc,3.900722222,0.237599999
Day0Anc_1,1,LB,Day0Anc,4.078027778,0.261099994
Day0Anc_1,1,LB,Day0Anc,4.255333333,0.274300009
Day0Anc_1,1,LB,Day0Anc,4.432638889,0.305999994
Day0Anc_1,1,LB,Day0Anc,4.609944444,0.333700001
Day0Anc_1,1,LB,Day0Anc,4.78725,0.352600008
Day0Anc_1,1,LB,Day0Anc,4.964555556,0.37470001
Day0Anc_1,1,LB,Day0Anc,5.141861111,0.396600008
