wellID,replicate,media ,strain,timeTidy,data
border,1,N-Acetyl-D-Glucosamine,blank,0,0.0854
border,1,N-Acetyl-D-Glucosamine,blank,0.177305556,0.0854
border,1,N-Acetyl-D-Glucosamine,blank,0.354611111,0.0854
border,1,N-Acetyl-D-Glucosamine,blank,0.531916667,0.0854
border,1,N-Acetyl-D-Glucosamine,blank,0.709222222,0.085600004
border,1,N-Acetyl-D-Glucosamine,blank,0.886527778,0.085100003
border,1,N-Acetyl-D-Glucosamine,blank,1.063833333,0.0854
border,1,N-Acetyl-D-Glucosamine,blank,1.241138889,0.0854
border,1,N-Acetyl-D-Glucosamine,blank,1.418444444,0.085299999
border,1,N-Acetyl-D-Glucosamine,blank,1.59575,0.085500002
border,1,N-Acetyl-D-Glucosamine,blank,1.773055556,0.085299999
border,1,N-Acetyl-D-Glucosamine,blank,1.950361111,0.0858
border,1,N-Acetyl-D-Glucosamine,blank,2.127666667,0.085199997
border,1,N-Acetyl-D-Glucosamine,blank,2.304972222,0.085699998
border,1,N-Acetyl-D-Glucosamine,blank,2.482277778,0.085299999
border,1,N-Acetyl-D-Glucosamine,blank,2.659583333,0.085299999
border,1,N-Acetyl-D-Glucosamine,blank,2.836888889,0.085600004
border,1,N-Acetyl-D-Glucosamine,blank,3.014194444,0.085500002
border,1,N-Acetyl-D-Glucosamine,blank,3.1915,0.085600004
border,1,N-Acetyl-D-Glucosamine,blank,3.368805556,0.085699998
border,1,N-Acetyl-D-Glucosamine,blank,3.546111111,0.085699998
border,1,N-Acetyl-D-Glucosamine,blank,3.723416667,0.085500002
border,1,N-Acetyl-D-Glucosamine,blank,3.900722222,0.0854
border,1,N-Acetyl-D-Glucosamine,blank,4.078027778,0.0854
border,1,N-Acetyl-D-Glucosamine,blank,4.255333333,0.0858
border,1,N-Acetyl-D-Glucosamine,blank,4.432638889,0.085500002
border,1,N-Acetyl-D-Glucosamine,blank,4.609944444,0.0854
border,1,N-Acetyl-D-Glucosamine,blank,4.78725,0.085900001
border,1,N-Acetyl-D-Glucosamine,blank,4.964555556,0.085500002
border,1,N-Acetyl-D-Glucosamine,blank,5.141861111,0.0854
border,1,N-Acetyl-D-Glucosamine,blank,5.319166667,0.085699998
border,1,N-Acetyl-D-Glucosamine,blank,5.496472222,0.0854
border,1,N-Acetyl-D-Glucosamine,blank,5.673777778,0.085699998
border,1,N-Acetyl-D-Glucosamine,blank,5.851083333,0.0854
border,1,N-Acetyl-D-Glucosamine,blank,6.028388889,0.085500002
border,1,N-Acetyl-D-Glucosamine,blank,6.205694444,0.085600004
border,1,N-Acetyl-D-Glucosamine,blank,6.383,0.0854
border,1,N-Acetyl-D-Glucosamine,blank,6.560305556,0.0854
border,1,N-Acetyl-D-Glucosamine,blank,6.737611111,0.085600004
border,1,N-Acetyl-D-Glucosamine,blank,6.914916667,0.0854
border,1,N-Acetyl-D-Glucosamine,blank,7.092222222,0.085699998
border,1,N-Acetyl-D-Glucosamine,blank,7.269527778,0.085500002
border,1,N-Acetyl-D-Glucosamine,blank,7.446833333,0.085699998
border,1,N-Acetyl-D-Glucosamine,blank,7.624138889,0.085600004
border,1,N-Acetyl-D-Glucosamine,blank,7.801444444,0.0854
border,1,N-Acetyl-D-Glucosamine,blank,7.97875,0.0858
border,1,N-Acetyl-D-Glucosamine,blank,8.156055556,0.0854
border,1,N-Acetyl-D-Glucosamine,blank,8.333361111,0.085199997
border,1,N-Acetyl-D-Glucosamine,blank,8.510666667,0.085299999
border,1,N-Acetyl-D-Glucosamine,blank,8.687972222,0.085600004
border,1,N-Acetyl-D-Glucosamine,blank,8.865277778,0.085600004
border,1,N-Acetyl-D-Glucosamine,blank,9.042583333,0.085500002
border,1,N-Acetyl-D-Glucosamine,blank,9.219888889,0.0854
border,1,N-Acetyl-D-Glucosamine,blank,9.397194444,0.0854
