expID,strain,media,replicate,timepoint,OD600,OD600_blanked
blank1,blank,GlcNAc,1,0,0.08599,0
blank1,blank,GlcNAc,1,0.185027778,0.085160001,-0.000829999
blank1,blank,GlcNAc,1,0.370083333,0.08519,-0.0008
blank1,blank,GlcNAc,1,0.555111111,0.085120001,-0.000869999
blank1,blank,GlcNAc,1,0.740138889,0.085190001,-0.000799999
blank1,blank,GlcNAc,1,0.925166667,0.085140001,-0.000849999
blank1,blank,GlcNAc,1,1.110194444,0.085220001,-0.000769999
blank1,blank,GlcNAc,1,1.295222222,0.085170002,-0.000819998
blank1,blank,GlcNAc,1,1.48025,0.0853,-0.00069
blank1,blank,GlcNAc,1,1.665277778,0.085349999,-0.00064
blank1,blank,GlcNAc,1,1.850333333,0.08532,-0.00067
blank1,blank,GlcNAc,1,2.035361111,0.085440001,-0.000549999
blank1,blank,GlcNAc,1,2.220388889,0.085299999,-0.000690001
blank1,blank,GlcNAc,1,2.405416667,0.08522,-0.00077
blank1,blank,GlcNAc,1,2.590444444,0.08527,-0.00072
blank1,blank,GlcNAc,1,2.775472222,0.0852,-0.00079
blank1,blank,GlcNAc,1,2.960611111,0.085340001,-0.000649999
blank1,blank,GlcNAc,1,3.145638889,0.085219999,-0.00077
blank1,blank,GlcNAc,1,3.330666667,0.08533,-0.00066
blank1,blank,GlcNAc,1,3.515694444,0.08528,-0.000709999
blank1,blank,GlcNAc,1,3.700722222,0.085230001,-0.000759999
blank1,blank,GlcNAc,1,3.885777778,0.085329999,-0.000660001
blank1,blank,GlcNAc,1,4.070805556,0.085169999,-0.00082
blank1,blank,GlcNAc,1,4.255833333,0.08528,-0.000709999
blank1,blank,GlcNAc,1,4.440861111,0.085260001,-0.000729999
blank1,blank,GlcNAc,1,4.625888889,0.085270001,-0.000719999
blank1,blank,GlcNAc,1,4.810916667,0.08525,-0.00074
blank1,blank,GlcNAc,1,4.995944444,0.08525,-0.00074
blank1,blank,GlcNAc,1,5.180972222,0.085280001,-0.000709999
blank1,blank,GlcNAc,1,5.366,0.085300001,-0.000689999
blank1,blank,GlcNAc,1,5.551055556,0.085180001,-0.000809999
blank1,blank,GlcNAc,1,5.736277778,0.08518,-0.00081
blank1,blank,GlcNAc,1,5.921305556,0.085250001,-0.000739999
blank1,blank,GlcNAc,1,6.106333333,0.08517,-0.00082
blank1,blank,GlcNAc,1,6.291361111,0.08524,-0.00075
blank1,blank,GlcNAc,1,6.476388889,0.08524,-0.000749999
blank1,blank,GlcNAc,1,6.661416667,0.08519,-0.0008
blank1,blank,GlcNAc,1,6.846472222,0.085299999,-0.000690001
blank1,blank,GlcNAc,1,7.0315,0.08518,-0.00081
blank1,blank,GlcNAc,1,7.216527778,0.085170001,-0.000819999
blank1,blank,GlcNAc,1,7.401555556,0.08524,-0.00075
blank1,blank,GlcNAc,1,7.586583333,0.08529,-0.0007
blank1,blank,GlcNAc,1,7.771611111,0.085259999,-0.00073
blank1,blank,GlcNAc,1,7.956638889,0.08532,-0.00067
blank1,blank,GlcNAc,1,8.141666667,0.0853,-0.00069
blank1,blank,GlcNAc,1,8.326694444,0.0852,-0.00079
blank1,blank,GlcNAc,1,8.51175,0.085220001,-0.000769999
blank1,blank,GlcNAc,1,8.696777778,0.08529,-0.0007
blank1,blank,GlcNAc,1,8.881805556,0.0852,-0.00079
blank1,blank,GlcNAc,1,9.066833333,0.08524,-0.00075
blank1,blank,GlcNAc,1,9.251861111,0.08521,-0.00078
blank1,blank,GlcNAc,1,9.436916667,0.08526,-0.00073
blank1,blank,GlcNAc,1,9.621944444,0.0853,-0.00069
blank1,blank,GlcNAc,1,9.806972222,0.08529,-0.0007
blank1,blank,GlcNAc,1,9.992,0.085299999,-0.000690001
blank1,blank,GlcNAc,1,10.17702778,0.08532,-0.00067
blank1,blank,GlcNAc,1,10.36205556,0.08531,-0.00068
blank1,blank,GlcNAc,1,10.54708333,0.08528,-0.00071
blank1,blank,GlcNAc,1,10.73211111,0.085239999,-0.000750001
blank1,blank,GlcNAc,1,10.91713889,0.08532,-0.00067
blank1,blank,GlcNAc,1,11.10219444,0.085309999,-0.00068
blank1,blank,GlcNAc,1,11.28722222,0.08529,-0.0007
blank1,blank,GlcNAc,1,11.47225,0.085299999,-0.000690001
blank1,blank,GlcNAc,1,11.65727778,0.085319999,-0.000670001
blank1,blank,GlcNAc,1,11.84230556,0.085279999,-0.000710001
blank1,blank,GlcNAc,1,12.02733333,0.08529,-0.0007
blank1,blank,GlcNAc,1,12.21236111,0.08525,-0.00074
blank1,blank,GlcNAc,1,12.39738889,0.08534,-0.00065
blank1,blank,GlcNAc,1,12.58241667,0.08528,-0.000709999
blank1,blank,GlcNAc,1,12.76747222,0.08536,-0.000629999
blank1,blank,GlcNAc,1,12.9525,0.08526,-0.00073
blank1,blank,GlcNAc,1,13.13752778,0.085289999,-0.000700001
blank1,blank,GlcNAc,1,13.32255556,0.08525,-0.00074
blank1,blank,GlcNAc,1,13.50758333,0.085290001,-0.000699998
blank1,blank,GlcNAc,1,13.69261111,0.08526,-0.00073
blank1,blank,GlcNAc,1,13.87763889,0.08531,-0.00068
blank1,blank,GlcNAc,1,14.06277778,0.085290001,-0.000699999
blank1,blank,GlcNAc,1,14.24780556,0.085260001,-0.000729999
blank1,blank,GlcNAc,1,14.43283333,0.08528,-0.000709999
blank1,blank,GlcNAc,1,14.61786111,0.085290001,-0.000699999
blank1,blank,GlcNAc,1,14.80291667,0.08527,-0.00072
blank1,blank,GlcNAc,1,14.98794444,0.085289999,-0.000700001
blank1,blank,GlcNAc,1,15.17297222,0.08531,-0.00068
blank1,blank,GlcNAc,1,15.358,0.08529,-0.0007
blank1,blank,GlcNAc,1,15.54302778,0.08525,-0.00074
blank1,blank,GlcNAc,1,15.72805556,0.085290001,-0.000699999
blank1,blank,GlcNAc,1,15.91308333,0.08526,-0.00073
blank1,blank,GlcNAc,1,16.09811111,0.08532,-0.00067
blank1,blank,GlcNAc,1,16.28313889,0.08536,-0.000629999
blank1,blank,GlcNAc,1,16.46819444,0.08538,-0.00061
blank1,blank,GlcNAc,1,16.65322222,0.08521,-0.00078
blank1,blank,GlcNAc,1,16.83825,0.085260001,-0.000729999
blank1,blank,GlcNAc,1,17.02327778,0.08524,-0.000749999
blank1,blank,GlcNAc,1,17.20830556,0.085310001,-0.000679999
blank1,blank,GlcNAc,1,17.39333333,0.08532,-0.00067
blank1,blank,GlcNAc,1,17.57836111,0.08521,-0.00078
blank1,blank,GlcNAc,1,17.76338889,0.085230001,-0.000759999
blank1,blank,GlcNAc,1,17.94844444,0.085280001,-0.000709999
blank1,blank,GlcNAc,1,18.13347222,0.085220001,-0.000769999
blank1,blank,GlcNAc,1,18.3185,0.08515,-0.00084
blank1,blank,GlcNAc,1,18.50352778,0.085300002,-0.000689998
blank1,blank,GlcNAc,1,18.68855556,0.085270001,-0.000719999
blank1,blank,GlcNAc,1,18.87358333,0.085270002,-0.000719998
blank1,blank,GlcNAc,1,19.05861111,0.08531,-0.00068
blank1,blank,GlcNAc,1,19.24363889,0.08527,-0.00072
blank1,blank,GlcNAc,1,19.42866667,0.08524,-0.000749999
blank1,blank,GlcNAc,1,19.61369444,0.08526,-0.00073
blank1,blank,GlcNAc,1,19.79875,0.08528,-0.000709999
